question_id,method,bleu_score,rouge1_f,rouge2_f,rougeL_f,difficulty,semantic_overlap,answer_completeness,response_coherence
q001,baseline,0.024985713792297432,0.13432835820895522,0.045454545454545456,0.11940298507462686,easy,0.10227272727272728,0.6842105263157895,0.7608283093053735
q002,baseline,0.0037992021734941594,0.10126582278481013,0.03404255319148936,0.08438818565400844,medium,0.07751937984496124,0.9,0.559421978021978
q003,baseline,0.0013247767316078116,0.10526315789473685,0.0353356890459364,0.06315789473684211,medium,0.05673758865248227,0.8363636363636364,0.664153661464586
q004,baseline,0.0018960571476291613,0.02247191011235955,0.007547169811320755,0.02247191011235955,hard,0.019736842105263157,0.55,0.5719254658385093
q005,baseline,0.001660023329572615,0.05405405405405406,0.01092896174863388,0.043243243243243246,easy,0.03225806451612903,0.6,0.7161225529437449
q006,baseline,0.0012332904530573147,0.054794520547945195,0.0,0.04109589041095891,hard,0.04242424242424243,0.75,0.5082013549938078
q007,baseline,0.0012770608600418125,0.07299270072992702,0.014705882352941176,0.05839416058394161,medium,0.04,0.76,0.6584183673469388
q008,baseline,0.0010770431214218229,0.04395604395604395,0.0,0.03663003663003663,medium,0.02666666666666667,0.64,0.5807875457875458
q009,baseline,0.005330041042899566,0.07746478873239437,0.03546099290780142,0.0704225352112676,hard,0.05844155844155844,0.85,0.6575394729751576
q010,baseline,0.0032973542683070673,0.07894736842105263,0.02654867256637168,0.06140350877192983,medium,0.045112781954887216,0.6571428571428571,0.6223057644110275
q011,baseline,0.0011202218469415553,0.03846153846153846,0.0,0.03846153846153846,easy,0.012658227848101266,0.52,0.7535978835978836
q012,baseline,0.0018909877077734785,0.027874564459930314,0.007017543859649123,0.020905923344947737,hard,0.02631578947368421,0.6181818181818182,0.6253634449959717
q001,vector,0.04695698720921546,0.43076923076923074,0.25396825396825395,0.43076923076923074,easy,0.25,0.7789473684210526,0.8609523809523809
q002,vector,0.010134332918397132,0.2972972972972973,0.05555555555555555,0.21621621621621623,medium,0.17647058823529413,0.85,0.6624175824175824
q003,vector,0.017162238811321402,0.303030303030303,0.14432989690721648,0.18181818181818182,medium,0.12727272727272726,0.7818181818181817,0.7472527472527473
q004,vector,0.0037643406986485163,0.08040201005025126,0.030456852791878174,0.06030150753768845,hard,0.058823529411764705,0.75,0.6142788074133763
q005,vector,0.013365863767826365,0.2545454545454545,0.037735849056603765,0.18181818181818182,easy,0.175,0.75,0.7407792207792208
q006,vector,0.008521924222067866,0.12987012987012986,0.02666666666666667,0.1038961038961039,hard,0.09090909090909091,0.65,0.9161904761904762
q007,vector,0.010968473790606286,0.2857142857142857,0.08823529411764705,0.2,medium,0.14285714285714285,0.8200000000000001,0.8072527472527473
q008,vector,0.008447063994683927,0.3404255319148936,0.04444444444444444,0.2553191489361702,medium,0.14285714285714285,0.7,0.8303296703296703
q009,vector,0.010606948946692587,0.20779220779220778,0.08000000000000002,0.20779220779220778,hard,0.10909090909090909,0.7,0.8394486215538847
q010,vector,0.02900697051073635,0.37837837837837834,0.1388888888888889,0.18918918918918917,medium,0.26666666666666666,0.9142857142857143,0.8735403726708074
q011,vector,0.00846177132910779,0.15384615384615385,0.026315789473684213,0.10256410256410256,easy,0.07142857142857142,0.64,0.9161904761904762
q012,vector,0.006657238367601376,0.05194805194805195,0.02666666666666667,0.05194805194805195,hard,0.03389830508474576,0.5090909090909091,0.7174555256064691
q001,graph,0.040918065342970766,0.417910447761194,0.1846153846153846,0.3582089552238805,easy,0.23529411764705882,0.7789473684210526,0.8996273291925466
q002,graph,0.025560860212461137,0.3055555555555555,0.1142857142857143,0.25,medium,0.20930232558139536,0.85,0.7104761904761905
q003,graph,0.02073053023917325,0.225,0.10256410256410256,0.15,medium,0.12,0.7272727272727273,0.8985714285714286
q004,graph,0.0022355476119537724,0.057971014492753624,0.0,0.057971014492753624,hard,0.043010752688172046,0.6,0.6127472527472528
q005,graph,0.005186671025518576,0.14285714285714285,0.029411764705882353,0.14285714285714285,easy,0.08163265306122448,0.6,0.7433434650455928
q006,graph,0.008207481478569896,0.10526315789473684,0.027027027027027025,0.07894736842105264,hard,0.07272727272727272,0.6,0.9339083557951482
q007,graph,0.006651640607160381,0.25,0.03225806451612903,0.15625,medium,0.15555555555555556,0.8200000000000001,0.6819047619047619
q008,graph,0.0045322114624299645,0.1917808219178082,0.0,0.1643835616438356,medium,0.07407407407407407,0.64,0.9152380952380952
q009,graph,0.007948812054402798,0.15,0.025641025641025637,0.1,hard,0.08620689655172414,0.65,0.8681773399014778
q010,graph,0.004162420118136847,0.19148936170212763,0.043478260869565216,0.10638297872340426,medium,0.11864406779661017,0.7,0.8808658008658009
q011,graph,0.011381305436860422,0.2,0.034482758620689655,0.13333333333333333,easy,0.09090909090909091,0.64,0.8698901098901098
q012,graph,0.006429555819679603,0.05128205128205129,0.026315789473684213,0.05128205128205129,hard,0.03333333333333333,0.5090909090909091,0.8480200501253132
q001,hybrid,0.04695698720921546,0.43076923076923074,0.25396825396825395,0.43076923076923074,easy,0.25,0.7789473684210526,0.8609523809523809
q002,hybrid,0.0073234121505475055,0.20155038759689922,0.07874015748031496,0.17054263565891473,medium,0.13333333333333333,0.9,0.8177959183673469
q003,hybrid,0.021126480857843462,0.2716049382716049,0.12658227848101267,0.19753086419753085,medium,0.12,0.7272727272727273,0.9028571428571428
q004,hybrid,0.008246318456455353,0.09478672985781991,0.03827751196172249,0.05687203791469194,hard,0.09615384615384616,0.9,0.5755586418274987
q005,hybrid,0.013365863767826365,0.2545454545454545,0.037735849056603765,0.18181818181818182,easy,0.175,0.75,0.7407792207792208
q006,hybrid,0.008059538325581596,0.1038961038961039,0.02666666666666667,0.07792207792207792,hard,0.07142857142857142,0.6,0.9235978835978836
q007,hybrid,0.005389738117818599,0.2597402597402597,0.05333333333333333,0.1818181818181818,medium,0.12962962962962962,0.8200000000000001,0.8582566585956416
q008,hybrid,0.0062589852960783475,0.2711864406779661,0.03508771929824561,0.23728813559322035,medium,0.11904761904761904,0.7,0.9440926640926641
